iter	Passed	Remaining
511	173	165
512	173	164
513	173	164
514	173	163
515	173	163
516	174	162
517	174	162
518	174	161
519	174	160
520	174	160
521	174	159
522	174	159
523	174	158
524	174	158
525	175	157
526	175	157
527	175	156
528	175	156
529	175	155
530	175	155
531	175	154
532	175	154
533	175	153
534	176	153
535	176	152
536	176	151
537	176	151
538	176	150
539	176	150
540	176	149
541	176	149
542	176	148
543	176	148
544	176	147
545	177	147
546	177	146
547	177	146
548	177	145
549	177	145
550	177	144
551	177	144
552	177	143
553	177	143
554	177	142
555	178	142
556	178	141
557	178	141
558	178	140
559	178	140
560	178	139
561	178	139
562	178	138
563	178	138
564	178	137
565	178	137
566	178	136
567	179	136
568	179	135
569	179	135
570	179	134
571	179	134
572	179	133
573	179	133
574	179	132
575	179	132
576	180	131
577	180	131
578	180	131
579	180	130
580	180	130
581	180	129
582	180	129
583	180	128
584	180	128
585	180	127
586	181	127
587	181	126
588	181	126
589	181	125
590	181	125
591	181	125
592	181	124
593	181	124
594	181	123
595	182	123
596	182	122
597	182	122
598	182	122
599	182	121
600	182	121
601	182	120
602	182	120
603	182	119
604	182	119
605	182	118
606	183	118
607	183	118
608	183	117
609	183	117
610	183	116
611	183	116
612	183	115
613	183	115
614	183	115
615	183	114
616	183	114
617	184	113
618	184	113
619	184	112
620	184	112
621	184	112
622	184	111
623	184	111
624	184	110
625	184	110
626	184	109
627	184	109
628	185	109
629	185	108
630	185	108
631	185	107
632	185	107
633	185	107
634	185	106
635	185	106
636	185	105
637	186	105
638	186	105
639	186	104
640	186	104
641	186	104
642	187	103
643	187	103
644	187	103
645	187	102
646	187	102
647	187	101
648	187	101
649	187	101
650	187	100
651	188	100
652	188	99
653	188	99
654	188	99
655	188	98
656	188	98
657	188	98
658	188	97
659	188	97
660	188	96
661	189	96
662	189	96
663	189	95
664	189	95
665	189	95
666	189	94
667	189	94
668	189	93
669	189	93
670	190	93
671	190	92
672	190	92
673	190	92
674	190	91
675	190	91
676	190	90
677	190	90
678	190	90
679	190	89
680	190	89
681	191	89
682	191	88
683	191	88
684	191	87
685	191	87
686	191	87
687	191	86
688	191	86
689	191	86
690	191	85
691	191	85
692	192	85
693	192	84
694	192	84
695	192	84
696	192	83
697	192	83
698	192	82
699	192	82
700	192	82
701	193	81
702	193	81
703	193	81
704	193	80
705	193	80
706	193	80
707	193	79
708	193	79
709	193	79
710	193	78
711	193	78
712	193	78
713	194	77
714	194	77
715	194	77
716	194	76
717	194	76
718	194	76
719	194	75
720	194	75
721	194	74
722	194	74
723	194	74
724	194	73
725	195	73
726	195	73
727	195	72
728	196	73
729	196	72
730	196	72
731	196	72
732	197	71
733	197	71
734	197	71
735	197	70
736	197	70
737	197	70
738	197	69
739	197	69
740	197	69
741	197	68
742	197	68
743	198	68
744	198	67
745	200	68
746	200	67
747	200	67
748	200	67
749	200	66
750	200	66
751	200	66
752	201	65
753	201	65
754	201	65
755	201	65
756	201	64
757	202	64
758	202	64
759	202	63
760	202	63
761	202	63
762	202	62
763	202	62
764	202	62
765	202	62
766	203	61
767	203	61
768	203	61
769	203	60
770	203	60
771	203	60
772	203	59
773	203	59
774	203	59
775	203	58
776	203	58
777	203	58
778	203	57
779	204	57
780	204	57
781	204	56
782	204	56
783	204	56
784	204	55
785	204	55
786	204	55
787	204	55
788	204	54
789	204	54
790	205	54
791	205	53
792	205	53
793	205	53
794	205	52
795	205	52
796	205	52
797	205	52
798	205	51
799	205	51
800	205	51
801	206	50
802	206	50
803	206	50
804	206	49
805	206	49
806	206	49
807	206	49
808	206	48
809	206	48
810	206	48
811	206	47
812	206	47
813	206	47
814	207	46
815	207	46
816	207	46
817	207	46
818	207	45
819	207	45
820	207	45
821	207	44
822	207	44
823	207	44
824	207	44
825	207	43
826	207	43
827	208	43
828	208	42
829	208	42
830	208	42
831	208	42
832	208	41
833	208	41
834	208	41
835	208	40
836	208	40
837	208	40
838	208	40
839	209	39
840	209	39
841	209	39
842	209	38
843	209	38
844	209	38
845	209	38
846	209	37
847	209	37
848	209	37
849	209	37
850	209	36
851	210	36
852	210	36
853	210	35
854	210	35
855	210	35
856	210	35
857	210	34
858	210	34
859	210	34
860	210	34
861	210	33
862	210	33
863	210	33
864	210	32
865	211	32
866	211	32
867	211	32
868	211	31
869	211	31
870	211	31
871	211	31
872	211	30
873	212	30
874	212	30
875	212	30
876	212	29
877	212	29
878	212	29
879	212	28
880	212	28
881	212	28
882	212	28
883	212	27
884	213	27
885	213	27
886	213	27
887	213	26
888	213	26
889	213	26
890	213	26
891	213	25
892	213	25
893	213	25
894	213	25
895	213	24
896	213	24
897	213	24
898	214	24
899	214	23
900	214	23
901	214	23
902	214	23
903	214	22
904	214	22
905	214	22
906	214	22
907	214	21
908	215	21
909	215	21
910	215	21
911	215	20
912	215	20
913	215	20
914	215	20
915	215	19
916	215	19
917	215	19
918	215	19
919	215	18
920	216	18
921	216	18
922	216	18
923	216	17
924	216	17
925	216	17
926	216	17
927	216	16
928	216	16
929	216	16
930	216	16
931	217	15
932	217	15
933	217	15
934	217	15
935	217	14
936	217	14
937	217	14
938	217	14
939	217	13
940	218	13
941	218	13
942	218	13
943	218	12
944	218	12
945	218	12
946	218	12
947	218	11
948	218	11
949	218	11
950	219	11
951	219	11
952	219	10
953	219	10
954	219	10
955	219	10
956	219	9
957	219	9
958	219	9
959	219	9
960	220	8
961	220	8
962	220	8
963	220	8
964	220	7
965	220	7
966	220	7
967	220	7
968	220	7
969	220	6
970	221	6
971	221	6
972	221	6
973	221	5
974	221	5
975	221	5
976	221	5
977	221	4
978	221	4
979	222	4
980	222	4
981	222	4
982	222	3
983	222	3
984	222	3
985	222	3
986	222	2
987	222	2
988	222	2
989	223	2
990	223	2
991	223	1
992	223	1
993	223	1
994	223	1
995	223	0
996	223	0
997	224	0
998	224	0
999	224	0
