iter	Passed	Remaining
0	119	119689
1	119	59839
2	120	39882
3	120	29901
4	120	23916
5	120	19922
6	120	17075
7	120	14945
8	120	13279
9	120	11949
10	120	10859
11	120	9951
12	120	9182
13	121	8534
14	121	7965
15	121	7467
16	121	7027
17	121	6634
18	121	6284
19	121	5968
20	122	5690
21	122	5431
22	122	5194
23	122	4976
24	122	4776
25	122	4592
26	122	4422
27	122	4263
28	122	4115
29	123	3977
30	124	3876
31	124	3756
32	124	3642
33	124	3534
34	124	3431
35	124	3335
36	124	3243
37	124	3157
38	124	3078
39	125	3004
40	125	2934
41	125	2864
42	125	2797
43	125	2734
44	125	2672
45	126	2614
46	126	2557
47	126	2511
48	126	2461
49	126	2412
50	127	2364
51	127	2318
52	127	2273
53	127	2230
54	127	2189
55	127	2149
56	127	2111
57	127	2074
58	127	2039
59	128	2009
60	128	1977
61	128	1944
62	128	1913
63	128	1883
64	128	1854
65	129	1826
66	129	1798
67	129	1773
68	129	1751
69	129	1726
70	131	1725
71	131	1700
72	132	1677
73	132	1653
74	132	1630
75	132	1608
76	132	1587
77	132	1566
78	132	1545
79	132	1525
80	132	1506
81	132	1486
82	132	1468
83	132	1449
84	133	1432
85	133	1414
86	133	1398
87	133	1382
88	133	1366
89	133	1350
90	133	1334
91	133	1319
92	133	1304
93	133	1289
94	133	1275
95	133	1261
96	134	1247
97	134	1234
98	134	1221
99	134	1208
100	134	1195
101	134	1183
102	134	1171
103	134	1159
104	134	1147
105	134	1136
106	134	1125
107	134	1114
108	134	1103
109	135	1092
110	135	1082
111	135	1072
112	135	1062
113	135	1053
114	135	1043
115	135	1034
116	135	1026
117	136	1017
118	136	1009
119	136	1001
120	136	993
121	136	984
122	136	976
123	136	967
124	137	959
125	137	951
126	137	943
127	137	935
128	137	927
129	137	919
130	137	912
131	137	904
132	137	897
133	137	890
134	137	883
135	137	876
136	137	869
137	138	862
138	138	855
139	138	848
140	138	842
141	138	835
142	138	829
143	138	823
144	138	816
145	138	810
