iter	RMSE
0	183.7390112
1	183.6335899
2	183.2610295
3	182.8915679
4	182.1439072
5	181.779019
6	181.0359064
7	180.2958316
8	179.9369358
9	179.2013536
10	178.4687785
11	177.7391981
12	177.0126003
13	176.2889728
14	175.5683035
15	174.8505803
16	174.1357911
17	173.423924
18	172.714967
19	172.0089082
20	171.3057358
21	170.605438
22	169.908003
23	169.5719361
24	168.8787261
25	168.1883498
26	167.5007959
27	167.1716037
28	166.4882062
29	165.8076025
30	165.129781
31	164.4547305
32	163.7824395
33	163.1128969
34	162.4460914
35	161.7820118
36	161.120647
37	160.4619858
38	159.8060172
39	159.1527302
40	158.5021138
41	158.1926001
42	157.5459087
43	156.9018611
44	156.2604463
45	155.6216536
46	155.525404
47	154.8896162
48	154.2564274
49	153.6258272
50	152.9978048
51	152.3723498
52	151.7494516
53	151.1290999
54	150.5112841
55	149.895994
56	149.2832192
57	148.6729494
58	148.0651744
59	147.459884
60	146.857068
61	146.5710675
62	145.971885
63	145.6894331
64	145.0938547
65	144.500711
66	143.9099921
67	143.3216881
68	142.735789
69	142.1522851
70	141.5711666
71	141.2989935
72	140.7213632
73	140.1460943
74	139.8784006
75	139.6129483
76	139.0422106
77	138.473806
78	137.9077251
79	137.3439584
80	136.7824963
81	136.5246049
82	135.9664923
83	135.711809
84	135.1570191
85	134.6044972
86	134.0542341
87	133.5062204
88	132.9604469
89	132.4169046
90	132.1704901
91	131.6301772
92	131.386831
93	130.8497216
94	130.314808
95	129.7820811
96	129.2515319
97	128.7231517
98	128.1969314
99	127.6728624
100	127.1509357
101	126.9174143
102	126.3985759
103	125.8818585
104	125.3672535
105	124.8547522
106	124.3443459
107	123.8360263
108	123.3297846
109	122.8256124
110	122.3235014
111	121.8234429
112	121.3254287
113	120.8294503
114	120.3354995
115	119.843568
116	119.3536475
117	118.8657298
118	118.3798067
119	117.8958701
120	117.4139118
121	116.9339237
122	116.4558978
123	115.9798261
124	115.5057006
125	115.2949636
126	114.8236378
127	114.3542388
128	113.8867586
129	113.4211896
130	112.9575238
131	112.4957534
132	112.2918634
133	111.8328143
134	111.3756418
135	110.9203382
136	110.4668958
137	110.0153072
138	109.5655646
139	109.1176606
140	108.6715876
141	108.2273381
142	107.7849048
143	107.3442801
144	106.9054567
145	106.4684272
146	106.0331843
147	105.8422799
148	105.4095967
149	104.9786823
150	104.5495294
151	104.1221309
152	103.6964797
153	103.2725685
154	102.8503902
155	102.4299378
156	102.0112043
157	101.5941825
158	101.1788654
159	100.7652463
160	100.3533179
161	99.94307358
162	99.5345063
163	99.12760924
164	98.72237558
165	98.31879852
166	97.91687128
167	97.51658712
168	97.11793931
169	96.72092118
170	96.32552607
171	95.93174732
172	95.53957835
173	95.14901256
174	94.7600434
175	94.37266435
176	93.9868689
177	93.60265059
178	93.22000296
179	92.8389196
180	92.4593941
181	92.0814201
182	91.70499126
183	91.33010127
184	90.95674382
185	90.58491266
186	90.21460154
187	89.84580426
188	89.47851461
189	89.11272645
190	88.74843363
191	88.38563004
192	88.02430959
193	87.66446622
194	87.30609389
195	86.94918659
196	86.59373832
197	86.23974312
198	85.88719506
199	85.53608821
200	85.18641669
201	84.83817462
202	84.49135617
203	84.14595551
204	83.80196685
205	83.45938442
206	83.11820246
207	82.77841525
208	82.4400171
209	82.10300231
210	81.76736525
211	81.43310026
212	81.10020176
213	80.76866414
214	80.43848184
215	80.10964934
216	79.78216109
217	79.45601163
218	79.13119546
219	78.80770713
220	78.48554123
221	78.16469235
222	77.84515509
223	77.5269241
224	77.20999404
225	76.89435959
226	76.58001545
227	76.26695636
228	75.95517704
229	75.64467229
230	75.33543687
231	75.02746561
232	74.72075334
233	74.4152949
234	74.11108518
235	73.80811907
236	73.50639149
237	73.20589736
238	72.90663166
239	72.60858935
240	72.31176545
241	72.01615495
242	71.72175292
243	71.4285544
244	71.13655447
245	70.84574824
246	70.55613083
247	70.26769737
248	69.98044303
249	69.69436298
250	69.40945243
251	69.12570659
252	68.84312071
253	68.56169004
254	68.28140985
255	68.00227546
256	67.72428216
257	67.4474253
258	67.17170023
259	66.89710232
260	66.62362697
261	66.35126959
262	66.08002561
263	65.80989047
264	65.54085964
265	65.27292861
266	65.00609288
267	64.74034798
268	64.47568944
269	64.21211283
270	63.94961371
271	63.6881877
272	63.42783039
273	63.16853742
274	62.91030445
275	62.65312713
276	62.39700115
277	62.14192221
278	61.88788604
279	61.63488836
280	61.38292495
281	61.13199155
282	60.88208398
283	60.63319802
284	60.38532951
285	60.13847429
286	59.89262821
287	59.64778715
288	59.403947
289	59.16110367
290	58.91925308
291	58.67839118
292	58.43851392
293	58.19961728
294	57.96169725
295	57.72474983
296	57.48877106
297	57.25375697
298	57.01970361
299	56.78660707
300	56.55446342
301	56.32326878
302	56.09301926
303	55.863711
304	55.63534016
305	55.40790289
306	55.18139539
307	54.95581385
308	54.73115449
309	54.50741353
310	54.28458723
311	54.06267184
312	53.84166364
313	53.62155892
314	53.40235399
315	53.18404517
316	52.9666288
317	52.75010123
318	52.53445882
319	52.31969795
320	52.10581503
321	51.89280646
322	51.68066867
323	51.4693981
324	51.25899121
325	51.04944446
326	50.84075433
327	50.63291733
328	50.42592997
329	50.21978877
330	50.01449028
331	49.81003104
332	49.60640764
333	49.40361665
334	49.20165467
335	49.00051831
336	48.80020419
337	48.60070896
338	48.40202927
339	48.20416177
340	48.00710316
341	47.81085013
342	47.61539938
343	47.42074763
344	47.22689162
345	47.03382809
346	46.8415538
347	46.65006553
348	46.45936007
349	46.26943421
350	46.08028476
351	45.89190856
352	45.70430244
353	45.51746326
354	45.33138787
355	45.14607316
356	44.96151602
357	44.77771334
358	44.59466205
359	44.41235908
360	44.23080136
361	44.04998584
362	43.86990951
363	43.69056932
364	43.51196227
365	43.33408538
366	43.15693564
367	42.98051009
368	42.80480577
369	42.62981972
370	42.45554902
371	42.28199074
372	42.10914197
373	41.9369998
374	41.76556135
375	41.59482373
376	41.4247841
377	41.25543958
378	41.08678735
379	40.91882456
380	40.75154841
381	40.58495609
382	40.41904479
383	40.25381174
384	40.08925416
385	39.92536929
386	39.76215438
387	39.5996067
388	39.43772351
389	39.2765021
390	39.11593976
391	38.9560338
392	38.79678154
393	38.6381803
394	38.48022742
395	38.32292025
396	38.16625616
397	38.0102325
398	37.85484668
399	37.70009607
400	37.54597808
401	37.39249012
402	37.23962962
403	37.08739402
404	36.93578076
405	36.78478729
406	36.63441108
407	36.48464961
408	36.33550036
409	36.18696084
410	36.03902855
411	35.891701
412	35.74497573
413	35.59885027
414	35.45332217
415	35.308389
416	35.1640483
417	35.02029768
418	34.8771347
419	34.73455698
420	34.59256211
421	34.45114772
422	34.31031143
423	34.17005088
424	34.03036372
425	33.89124759
426	33.75270017
427	33.61471914
428	33.47730217
429	33.34044696
430	33.20415121
431	33.06841265
432	32.93322898
433	32.79859794
434	32.66451727
435	32.53098473
436	32.39799807
437	32.26555505
438	32.13365347
439	32.00229109
440	31.87146573
441	31.74117518
442	31.61141726
443	31.48218979
444	31.3534906
445	31.22531753
446	31.09766843
447	30.97054117
448	30.8439336
449	30.7178436
450	30.59226906
451	30.46720786
452	30.34265792
453	30.21861714
454	30.09508343
455	29.97205473
456	29.84952897
457	29.7275041
458	29.60597807
459	29.48494883
460	29.36441436
461	29.24437264
462	29.12482165
463	29.00575938
464	28.88718383
465	28.76909303
466	28.65148498
467	28.53435771
468	28.41770926
469	28.30153766
470	28.18584098
471	28.07061726
472	27.95586458
473	27.84158101
474	27.72776463
475	27.61441353
476	27.50152581
477	27.38909957
478	27.27713294
479	27.16562402
480	27.05457095
481	26.94397187
482	26.83382491
483	26.72412824
484	26.61488
485	26.50607837
486	26.39772153
